Product_Name,Brand,Category,Status,Price_RM,Rating,Comment,Comment_num
Sony ZX Series Stereo Headphone No Mic (White) SNY-MDRZX110/WCE,Sony,Audio,OUT OF STOCK,50.0,0.0,-,0
Beats Solo3 Wireless On-Ear Headphones Matte Black BTS-MP582ZP/A,Beats,Audio,AVAILABLE,1179.0,0.0,-,0
Sharp 45-Inch Full HD Basic LED TV Model 2TC45AD1X,Sharp,TV,AVAILABLE,1199.0,5.0,"['Bought it on 24 Dec 2020 at Bangi Outlet. Just budget TV but the picture clarity very good, sound also adequate for small room. Suggested for use with android box or MYTV. JAPANESE TECHNOLOGY.']",1
Sony X8000H Series Smart TV (Android TV) KD-55X8000H,Sony,TV,OUT OF STOCK,3249.0,4.0,['terbaik buat game/family movie/connected to pc and lain2..i love my tv sony 55 80h'],1
Sony DUALSHOCK 4 (Black) Wireless Controller SNY-CUH-ZCT2G/BK,Sony,Gaming Consoles,OUT OF STOCK,220.0,0.0,-,0
Samsung 65 Inch TU8500 4K UHD Smart TV (2020),Samsung,TV,AVAILABLE,4249.0,5.0,"['Purchased TV from 2 years ago and now get a new one, well done senheng segamat #31Anniversary,#SenhengKOC', 'Kualiti bagus', '#SenhengKOiC #31ANNIVERSARY #GRANDSENHENGBINTULU Great experience buying with senheng! Super LOW price with desire QUALITY and PERFECT guidience from their staff ðŸ¥° 1Million STAR from me ðŸ¥°ðŸ¥°ðŸ¥°#31Anniversary,#SenhengKOC', 'Best promotion form senheng #senhengPOKOKMANGGA#31Anniversary,#SenhengKOC']",4
Panasonic Street Wireless Headphones 2019 RP-HTX20B (Cool Gray),Panasonic,Audio,OUT OF STOCK,499.0,0.0,-,0
TCL 32-inch HD LED TV 32D3000,TCL,TV,OUT OF STOCK,699.0,0.0,-,0
Sony WF-1000XM3 Wireless Noise Cancelling Headphones Black,Sony,Wearables,AVAILABLE,799.0,0.0,-,0
TCL 55-inch 4K UHD Android TV 55P8M,TCL,TV,OUT OF STOCK,2379.0,0.0,-,0
Sony Sports In-Ear Headphones (Black) SNY-WISP500/BQ,Sony,Audio,OUT OF STOCK,297.0,0.0,-,0
Sony 49 Inch X80H 4K Ultra HD High Dynamic Range (HDR) Smart TV (Android TV) SNY-KD49X8000H,Sony,TV,OUT OF STOCK,2899.0,5.0,"['Enjoy extra 1 year warranty #grand senheng banting#31Anniversary#senhengKOC#31Anniversary,#SenhengKOC']",1
Sony In-Ear Extra Bass Earphones with Mic (Red) - SNY-MDRXB55AP/RQE,Sony,Audio,OUT OF STOCK,152.0,0.0,-,0
Sony Sports Wireless In-Ear Headphones (Pink) SNY-WISP600N/PME,Sony,Audio,OUT OF STOCK,553.0,0.0,-,0
Sony Extra Bass In-Ear Headphones (Black) - SNY-MDRXB510ASBQE,Sony,Audio,OUT OF STOCK,169.0,0.0,-,0
"Cento 30""-46"" Full Motion Mount CT-LCDM4055",Cento,Accessories,AVAILABLE,254.0,0.0,-,0
Sony 2.1ch Compact Soundbar SNY-HTMT300/W,Sony,Audio,OUT OF STOCK,1199.0,0.0,-,0
Hisense 65 Inch 4K Android A7400F Series HSE-65A7400F,Hisense,TV,OUT OF STOCK,2999.0,0.0,-,0
Panasonic 40-Inch G300 LED TV TH-40G300K,Panasonic,TV,OUT OF STOCK,888.0,0.0,-,0
Philips 43 Inch FHD LED TV 43PFT5583/68,Philips,TV,AVAILABLE,988.0,0.0,-,0
Sony Extra Bass On-Ear Headphones (Black) - SNY-MDRXB550APBCE,Sony,Audio,OUT OF STOCK,195.0,0.0,-,0
